Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.time_period,Time Period,unavailable,N/A,N/A,N/A,mdi:clock,2025-10-02T15:08:53.414464+00:00,2025-10-02T15:08:53.414464+00:00,sensor,N/A,True,0
sensor.days_until_weekend,Days Until Weekend,unavailable,days,N/A,N/A,mdi:calendar-weekend,2025-10-02T15:08:53.414699+00:00,2025-10-02T15:08:53.414699+00:00,sensor,N/A,True,0
sensor.current_season,Current Season,unavailable,N/A,N/A,N/A,mdi:weather-partly-cloudy,2025-10-02T15:08:53.414879+00:00,2025-10-02T15:08:53.414879+00:00,sensor,N/A,True,0
sensor.onedrive_usage_percentage,OneDrive Usage Percentage,unavailable,%,N/A,N/A,mdi:percent,2025-10-02T15:08:53.416878+00:00,2025-10-02T15:08:53.416878+00:00,sensor,N/A,True,0
sensor.onedrive_status_simple,OneDrive Status Simple,unavailable,N/A,N/A,N/A,mdi:cloud,2025-10-02T15:08:53.417060+00:00,2025-10-02T15:08:53.417060+00:00,sensor,N/A,True,0
sensor.onedrive_days_until_full_simple,OneDrive Days Until Full Simple,unavailable,days,N/A,N/A,mdi:calendar-clock,2025-10-02T15:08:53.417418+00:00,2025-10-02T15:08:53.417418+00:00,sensor,N/A,True,0
sensor.johanba_server_cpu_temperature_numeric,Johanba Server CPU Temperature Numeric,unavailable,°C,N/A,N/A,N/A,2025-10-02T15:08:53.420680+00:00,2025-10-02T15:08:53.420680+00:00,sensor,N/A,True,0
sensor.onedrive_connection_summary,OneDrive Connection Summary,unavailable,N/A,N/A,N/A,mdi:cloud-check,2025-10-02T15:08:53.423145+00:00,2025-10-02T15:08:53.423145+00:00,sensor,N/A,True,0
sensor.onedrive_storage_health_score,OneDrive Storage Health Score,unavailable,/10,N/A,N/A,mdi:heart-pulse,2025-10-02T15:08:53.423239+00:00,2025-10-02T15:08:53.423239+00:00,sensor,N/A,True,0
sensor.system_health_score,System Health Score,unavailable,%,N/A,N/A,N/A,2025-10-02T15:08:53.423993+00:00,2025-10-02T15:08:53.423993+00:00,sensor,N/A,True,0
sensor.network_throughput_total,Network Throughput Total,unavailable,MB/s,N/A,N/A,N/A,2025-10-02T15:08:53.424087+00:00,2025-10-02T15:08:53.424087+00:00,sensor,N/A,True,0
sensor.disk_space_days_remaining,Disk Space Days Remaining,unavailable,days,N/A,N/A,N/A,2025-10-02T15:08:53.424206+00:00,2025-10-02T15:08:53.424206+00:00,sensor,N/A,True,0
sensor.peak_hours_status,Peak Hours Status,unavailable,N/A,N/A,N/A,mdi:clock-alert,2025-10-02T15:08:53.426376+00:00,2025-10-02T15:08:53.426376+00:00,sensor,N/A,True,0
sensor.home_assistant_device_info,Home Assistant Device Info,unavailable,N/A,N/A,N/A,N/A,2025-10-02T15:08:53.432304+00:00,2025-10-02T15:08:53.432304+00:00,sensor,N/A,True,0
sensor.network_devices_enhanced,Network Devices Enhanced,unavailable,N/A,N/A,N/A,N/A,2025-10-02T15:08:53.432446+00:00,2025-10-02T15:08:53.432446+00:00,sensor,N/A,True,0
sensor.last_activity,Last Activity,unavailable,N/A,N/A,N/A,mdi:walk,2025-10-02T15:08:53.456082+00:00,2025-10-02T15:08:53.456082+00:00,sensor,N/A,True,0
sensor.main_eskom_last_hour_energy,Main Eskom Last Hour Energy,unavailable,kWh,energy,N/A,N/A,2025-10-02T15:08:53.459903+00:00,2025-10-02T15:08:53.459903+00:00,sensor,N/A,True,0
sensor.backup_state,Backup State,backed_up,N/A,N/A,N/A,N/A,2025-10-02T15:09:14.982725+00:00,2025-10-02T15:09:14.982725+00:00,sensor,N/A,False,N/A
sensor.a4800986dd_humidity,Bedroom Temperature/Humidity Sensor-Humidity,45.68,%,humidity,N/A,N/A,2025-10-02T15:37:08.678349+00:00,2025-10-02T15:37:08.678349+00:00,sensor,N/A,False,N/A
sensor.a4800986dd_temperature,Bedroom Temperature/Humidity Sensor-Temperature,27.39,°C,temperature,N/A,N/A,2025-10-02T15:15:07.126090+00:00,2025-10-02T15:15:07.126090+00:00,sensor,N/A,False,N/A
sensor.a4800986dd_battery,Bedroom Temperature/Humidity Sensor-Battery,77,%,battery,N/A,N/A,2025-10-02T15:09:38.757587+00:00,2025-10-02T15:09:38.757587+00:00,sensor,N/A,False,N/A
sensor.a4800986e6_battery,Front Door Motion Sensor-Battery,8,%,battery,N/A,N/A,2025-10-02T15:09:38.763868+00:00,2025-10-02T15:09:38.763868+00:00,sensor,N/A,False,N/A
sensor.a48008e4cc_humidity,Power Room Temperature/Humidity Sensor-Humidity,42.89,%,humidity,N/A,N/A,2025-10-02T15:09:38.766947+00:00,2025-10-02T15:09:38.766947+00:00,sensor,N/A,False,N/A
sensor.a48008e4cc_temperature,Power Room Temperature/Humidity Sensor-Temperature,27.41,°C,temperature,N/A,N/A,2025-10-02T15:12:58.577776+00:00,2025-10-02T15:12:58.577776+00:00,sensor,N/A,False,N/A
sensor.a48008e4cc_battery,Power Room Temperature/Humidity Sensor-Battery,100,%,battery,N/A,N/A,2025-10-02T15:09:38.771129+00:00,2025-10-02T15:09:38.771129+00:00,sensor,N/A,False,N/A
sensor.a48005596e_battery,Gang Motion Sensor-Battery,77,%,battery,N/A,N/A,2025-10-02T15:09:38.781944+00:00,2025-10-02T15:09:38.781944+00:00,sensor,N/A,False,N/A
sensor.a4800d7025_battery,Back Door Sensor-Battery,37,%,battery,N/A,N/A,2025-10-02T15:09:38.784788+00:00,2025-10-02T15:09:38.784788+00:00,sensor,N/A,False,N/A
sensor.a480098890_battery,Front Door Sensor-Battery,78,%,battery,N/A,N/A,2025-10-02T15:09:38.795845+00:00,2025-10-02T15:09:38.795845+00:00,sensor,N/A,False,N/A
binary_sensor.file_editor_running,File editor Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.239657+00:00,2025-10-02T15:07:07.239657+00:00,binary_sensor,N/A,False,N/A
binary_sensor.advanced_ssh_web_terminal_running,Advanced SSH & Web Terminal Running,off,N/A,running,N/A,N/A,2025-10-02T15:07:07.240186+00:00,2025-10-02T15:07:07.240186+00:00,binary_sensor,N/A,False,N/A
binary_sensor.studio_code_server_running,Studio Code Server Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.240626+00:00,2025-10-02T15:07:07.240626+00:00,binary_sensor,N/A,False,N/A
binary_sensor.terminal_ssh_running,Terminal & SSH Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.241034+00:00,2025-10-02T15:07:07.241034+00:00,binary_sensor,N/A,False,N/A
binary_sensor.influxdb_running,InfluxDB Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.241409+00:00,2025-10-02T15:07:07.241409+00:00,binary_sensor,N/A,False,N/A
binary_sensor.grafana_running,Grafana Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.250524+00:00,2025-10-02T15:07:07.250524+00:00,binary_sensor,N/A,False,N/A
binary_sensor.node_red_running,Node-RED Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.252222+00:00,2025-10-02T15:07:07.252222+00:00,binary_sensor,N/A,False,N/A
binary_sensor.get_hacs_running,Get HACS Running,off,N/A,running,N/A,N/A,2025-10-02T15:07:07.253971+00:00,2025-10-02T15:07:07.253971+00:00,binary_sensor,N/A,False,N/A
binary_sensor.duck_dns_running,Duck DNS Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.254544+00:00,2025-10-02T15:07:07.254544+00:00,binary_sensor,N/A,False,N/A
binary_sensor.vlc_running,VLC Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.255584+00:00,2025-10-02T15:07:07.255584+00:00,binary_sensor,N/A,False,N/A
